"name","group","label","slice","color","id","sum","freq","period"
"climate change","2015-2018","climate change--2015-2018","1","#E41A1C80",0,0.256475192816853,2535,"2015–2018"
"heavy metal","2015-2018","heavy metal--2015-2018","1","#A6562880",1,0.135720041441234,1179,"2015–2018"
"human immunodeficiency virus","2015-2018","human immunodeficiency virus--2015-2018","1","#377EB880",2,0.40692989524577,4888,"2015–2018"
"sustainability","2015-2018","sustainability--2015-2018","1","#4DAF4A80",3,0.200874870496144,1745,"2015–2018"
"adsorption","2019-2022","adsorption--2019-2022","2","#984EA380",4,0.129538177674065,3930,"2019–2022"
"climate change","2019-2022","climate change--2019-2022","2","#E41A1C80",5,0.31860856352092,10416,"2019–2022"
"covid19","2019-2022","covid19--2019-2022","2","#FF7F0080",6,0.253649536006946,10305,"2019–2022"
"human immunodeficiency virus","2019-2022","human immunodeficiency virus--2019-2022","2","#377EB880",7,0.254517827101536,7193,"2019–2022"
"knowledge","2019-2022","knowledge--2019-2022","2","#F781BF80",8,0.0436858956965323,805,"2019–2022"
"adsorption","2023-2026","adsorption--2023-2026","3","#984EA380",9,0.14125932062966,5136,"2023–2025"
"machine learning","2023-2026","machine learning--2023-2026","3","#66C2A580",10,0.0433187359450823,5349,"2023–2025"
"sustainability","2023-2026","sustainability--2023-2026","3","#4DAF4A80",11,0.190436738075512,7786,"2023–2025"
"climate change","2023-2026","climate change--2023-2026","3","#E41A1C80",12,0.347437566575926,8481,"2023–2025"
"covid19","2023-2026","covid19--2023-2026","3","#FF7F0080",13,0.277547638773819,11290,"2023–2025"
