id	label	x	y	cluster	weight<Links>	weight<Total link strength>	weight<Documents>	weight<Citations>	weight<Norm. citations>	score<Avg. pub. year>	score<Avg. citations>	score<Avg. norm. citations>
9062	APHRC	-0.6086	-0.0732	1	15	47	273	7925	330.5747	2021.8205	29.0293	1.2109
185362	Liverpool STM (Clin.)	-0.4274	0.0032	1	8	19	214	5484	267.4509	2022.0421	25.6262	1.2498
220930	Univ. of Gondar	-0.5622	-0.6492	1	4	15	482	7360	394.1786	2022.4398	15.2697	0.8178
223114	UW (Epidem.)	-0.7288	0.8458	3	11	213	228	3900	173.0792	2021.3246	17.1053	0.7591
240371	LSHTM (GHD)	-0.2858	0.1264	1	13	41	338	6462	322.9609	2021.2189	19.1183	0.9555
240525	Harvard Chan SPH	-0.8554	-0.0888	1	17	49	234	6435	249.6862	2020.9145	27.5000	1.0670
241204	UW (Global H.)	-0.5446	0.5308	3	17	253	494	11305	477.4333	2021.2105	22.8846	0.9665
241355	Karolinska Institutet	-0.6182	-0.2200	1	11	33	219	2352	168.7278	2023.0776	10.7397	0.7704
257451	Johns Hopkins BSPH	-0.6366	0.3236	1	14	58	331	8971	323.2244	2020.3505	27.1027	0.9765
326258	Univ. of Cape Coast	-0.6998	-0.4956	1	4	9	296	4346	215.5553	2021.9932	14.6824	0.7282
329358	UCT (Psych.)	-1.0322	0.0984	1	8	30	239	7327	282.6972	2020.4310	30.6569	1.1828
412718	Ethiopian PHI	-0.5586	-0.6244	1	6	29	233	3851	185.4443	2021.8069	16.5279	0.7959
470100	Harvard Medical School	-0.7218	0.4676	1	15	43	301	7985	330.8203	2020.8173	26.5282	1.0991
503312	UCL	-0.7506	0.0004	1	18	127	318	7609	357.3469	2021.8962	23.9277	1.1237
527383	ILRI	-1.1197	-0.1952	3	5	12	203	8786	334.3851	2020.8374	43.2808	1.6472
540426	KEMRI	-0.7627	-0.0182	3	13	70	205	4405	181.1474	2020.9659	21.4878	0.8836
546469	KNUST	-1.2350	-0.0109	4	8	10	220	4261	190.0242	2020.8318	19.3682	0.8637
583576	Liverpool STM	0.2686	0.0172	1	15	58	267	7910	353.4133	2020.7378	29.6255	1.3236
584789	LSHTM	-0.2390	-0.0376	1	24	124	595	21201	736.2219	2020.0605	35.6319	1.2373
637467	North-West Univ.	1.5500	-0.3000	2	9	27	216	1625	74.1457	2021.0231	7.5231	0.3433
718743	Addis Ababa Univ.	-0.2442	-0.4960	1	11	22	203	3451	159.1586	2021.2315	17.0000	0.7840
719475	Wits (SPH)	0.3210	0.0980	1	11	21	274	6306	261.3473	2020.4854	23.0146	0.9538
744345	Stellenbosch Univ.	2.0000	0.6000	2	7	25	209	2506	103.9834	2020.5311	11.9904	0.4975
748972	Swiss TPH	-1.2036	0.0266	5	12	208	232	8852	331.1912	2019.7500	38.1552	1.4275
782348	Univ. of Basel	-1.0462	0.0153	5	15	227	477	12197	528.8632	2020.6415	25.5702	1.1087
784065	Univ. of Cape Town	0.3542	-0.0363	4	12	34	246	6410	267.5361	2020.7236	26.0569	1.0875
788377	Univ. of Johannesburg	1.4252	0.0065	4	4	9	225	2230	153.2119	2022.2089	9.9111	0.6809
789297	UKZN	1.4000	-0.6000	2	11	26	268	2353	97.4264	2020.0485	8.7799	0.3635
793553	Univ. of Pretoria	1.7000	0.0000	2	8	29	283	3280	157.4233	2020.9717	11.5901	0.5563
795175	UNISA	1.8500	0.3000	2	7	28	395	3072	141.2324	2020.8582	7.7772	0.3576
796561	Univ. of Witwatersrand	0.7705	0.0125	4	14	32	259	3632	173.7549	2021.0502	14.0232	0.6709
821042	WHO	-0.0362	0.2096	1	18	71	320	17255	659.2380	2020.0781	53.9219	2.0601
