sdg_number,original_length,cleaned_length,length_delta,rule_A_count,rule_B_count,rule_C_count,rule_D_count,rule_E_count,rule_F_count,rule_G_count,total_transformations
01,3414,3338,-76,32,11,0,0,0,1,20,64
02,3638,3524,-114,54,6,0,0,0,0,17,77
03,6412,6246,-166,75,28,0,0,3,0,27,133
04,3860,3797,-63,29,13,0,0,2,0,12,56
05,4827,4701,-126,61,8,0,0,1,0,11,81
06,3244,3173,-71,38,7,0,0,3,0,17,65
07,2914,2893,-21,10,5,0,0,1,0,5,21
08,4461,4407,-54,37,15,0,0,9,1,21,83
09,4595,4496,-99,53,13,0,0,6,4,13,89
10,3877,3767,-110,55,12,0,0,3,0,16,86
11,3964,3897,-67,32,7,0,0,1,0,23,63
12,3684,3585,-99,48,6,0,0,1,1,18,74
13,3951,3832,-119,53,16,0,0,1,1,9,80
14,4313,4155,-158,67,27,0,0,1,1,5,101
15,5186,5017,-169,82,5,0,0,0,0,22,109
16,5162,4986,-176,83,17,0,0,2,1,28,131
17,6917,6711,-206,107,40,0,0,13,4,30,194
