hint_countries,segment_raw,frequency,top1_ror_id,top1_display,top1_score,top2_ror_id,top2_display,top2_score,top3_ror_id,top3_display,top3_score
TZ,"Kilimanjaro Christian Medical University College, Moshi, Tanzania",112,https://ror.org/04knhza04,Kilimanjaro Christian Medical Centre,91.2,https://ror.org/001pprn90,WWF Tanzania,85.7,https://ror.org/040qff210,Jordan University College,84.0
KE,"Population Council, Nairobi, Kenya",102,https://ror.org/00zy1mb15,CABI Kenya,88.9,https://ror.org/00cw00f88,Media Council of Kenya,72.7,https://ror.org/0410jfe71,British Council,66.7
KE,"KEMRI-Wellcome Trust Research Programme, Kilifi, Kenya",101,https://ror.org/00zy1mb15,CABI Kenya,82.4,https://ror.org/02k8cz130,Umande Trust,66.7,https://ror.org/00cw00f88,Media Council of Kenya,64.9
TZ,"Kilimanjaro Clinical Research Institute, Moshi, Tanzania",96,https://ror.org/001pprn90,WWF Tanzania,85.7,https://ror.org/02wqsss46,National Sugar Institute,75.0,https://ror.org/00jway472,"Water Institute, Tanzania",75.0
MZ,"Centro de Investigação em Saúde de Manhiça (CISM), Maputo, Mozambique",89,https://ror.org/057ec1n13,Radio Moçambique,78.6,https://ror.org/04magp836,Centro Terra Viva,73.3,https://ror.org/03yh1tp98,Fundo Nacional de Investigação,69.2
ZA,"University of Witwatersrand, Johannesburg, South Africa",76,https://ror.org/03ve8wd49,GS1 South Africa,93.3,https://ror.org/03rp50x72,University of the Witwatersrand,93.1,https://ror.org/0338xea48,University of Venda,84.8
DZ,"Unité de Recherche Appliquée en Energies Renouvelables, URAER, Centre de Développement des Energies Renouvelables, CDER, Ghardaïa, 47133, Algeria",71,https://ror.org/01h4ne021,NEAL (Algeria),80.0,https://ror.org/01ay87255,Centre de Développement des Technologies Avancées,77.6,https://ror.org/05hen7093,Sonatrach (Algeria),64.0
KE,"Nairobi, Kenya",71,https://ror.org/00zy1mb15,CABI Kenya,88.9,https://ror.org/049pxhr81,The Nairobi Women’s Hospital,76.9,https://ror.org/00rds0p35,Nairobi Hospital,76.2
EG,"University of Kafrelsheikh, Faculty of Agriculture, Department of Soil and Water Sciences, Kafr El-Sheikh, 33516, Egypt",64,https://ror.org/04zpt4h82,IBM (Egypt),80.0,https://ror.org/00ndhrx30,Suez University,80.0,https://ror.org/03cg7cp61,Nile University,80.0
KE,"Moi Teaching and Referral Hospital, Eldoret, Kenya",60,https://ror.org/02jhq7089,Mathari National Teaching and Referral Hospital,81.5,https://ror.org/042e5sj03,mHealth (Kenya),76.2,https://ror.org/00zy1mb15,CABI Kenya,75.0
KE,"KEMRI-Wellcome Trust Research Programme, Nairobi, Kenya",59,https://ror.org/00zy1mb15,CABI Kenya,88.9,https://ror.org/003ad2905,Farm Africa Kenya,66.7,https://ror.org/02k8cz130,Umande Trust,66.7
ZA,"Oceanographic Research Institute, Durban, South Africa",54,https://ror.org/01gqqqf26,Mylan (South Africa),90.9,https://ror.org/03ve8wd49,GS1 South Africa,89.7,https://ror.org/05vkc3y92,Omnia (South Africa),87.5
