raw_string,ror_id,reviewer_initials,date,decision_reason
"Nairobi, Kenya",,AUTO,2026-05-08,Stub — city and country only
"Cape Town, South Africa",,AUTO,2026-05-08,Stub — city and country only
"Addis Ababa, Ethiopia",,AUTO,2026-05-08,Stub — city and country only
"Accra, Ghana",,AUTO,2026-05-08,Stub — city and country only
"Kampala, Uganda",,AUTO,2026-05-08,Stub — city and country only
"Abuja, Nigeria",,AUTO,2026-05-08,Stub — city and country only
"Lusaka, Zambia",,AUTO,2026-05-08,Stub — city and country only
"CIMMYT, P.O. Box MP 163, Mount Pleasant, Harare, Zimbabwe",,AUTO,2026-05-08,Stub — postal address without institution name
"Egyptian Propylene and Polypropylene Company, Port Said, 42511, Egypt",,AUTO,2026-05-08,Stub — postal address without institution name
"Dar es Salaam, Tanzania",,AUTO,2026-05-08,Stub — city and country only
"Bamako, Mali",,AUTO,2026-05-08,Stub — city and country only
"Harare, Zimbabwe",,AUTO,2026-05-08,Stub — city and country only
"Pretoria, South Africa",,AUTO,2026-05-08,Stub — city and country only
"Rabat, Morocco",,AUTO,2026-05-08,Stub — city and country only
"Kigali, Rwanda",,AUTO,2026-05-08,Stub — city and country only
"Yaoundé, Cameroon",,AUTO,2026-05-08,Stub — city and country only
"Spectrum of Knowledge Production & Skills Development, Sfax, 3027, Tunisia",,AUTO,2026-05-08,Stub — postal address without institution name
"Dakar, Senegal",,AUTO,2026-05-08,Stub — city and country only
"Central Bank of Nigeria, Nigeria",,AUTO,2026-05-08,Stub — city and country only
"FOCUS 1000, Freetown, Sierra Leone",,AUTO,2026-05-08,Stub — postal address without institution name
"Kulima Integrated Development Solutions (Pty) Ltd, Postnet Suite H79, Private Bag x9118, Pietermaritzburg, 3200, South Africa",,AUTO,2026-05-08,Stub — postal address without institution name
"Hikma Pharmaceutical Company, Beni-Suef, 62511, Egypt",,AUTO,2026-05-08,Stub — postal address without institution name
"Plot 1244 Ibex Hill, Lusaka, Zambia",,AUTO,2026-05-08,Stub — postal address without institution name
"Independent Researcher, Nairobi, Kenya",,AUTO,2026-05-08,Stub — generic descriptor
"Freetown, Sierra Leone",,AUTO,2026-05-08,Stub — city and country only
"African Development Bank, Cote d'Ivoire",,AUTO,2026-05-08,Stub — city and country only
"Monrovia, Liberia",,AUTO,2026-05-08,Stub — city and country only
"Abidjan, Cote d'Ivoire",,AUTO,2026-05-08,Stub — city and country only
"Ouagadougou, Burkina Faso",,AUTO,2026-05-08,Stub — city and country only
"Bioversity International, P.O. Box 24384, Kampala, Uganda",,AUTO,2026-05-08,Stub — postal address without institution name
"PATH, PO Box 7404, Kampala, Uganda",,AUTO,2026-05-08,Stub — postal address without institution name
"UNESCO-UNISA Africa Chair in Nanosciences/Nanotechnology, iThemba LABS, Somerset West, 7129, South Africa",,AUTO,2026-05-08,Stub — postal address without institution name
"Energy Insight-Tomorrow Today, PO Box 2043, Douala, Cameroon",,AUTO,2026-05-08,Stub — postal address without institution name
"Destinies Biomass Energy and Farming Pty Ltd, P.O. Box 7387, Swakopmund, Namibia",,AUTO,2026-05-08,Stub — postal address without institution name
"CSIR Natural Resources and the Environment, P.O. Box 320, Stellenbosch, 7599, South Africa",,AUTO,2026-05-08,Stub — postal address without institution name
"Maputo, Mozambique",,AUTO,2026-05-08,Stub — city and country only
"Khartoum, Sudan",,AUTO,2026-05-08,Stub — city and country only
"Durban, South Africa",,AUTO,2026-05-08,Stub — city and country only
"Independent Researcher, Addis Ababa, Ethiopia",,AUTO,2026-05-08,Stub — generic descriptor
"NextBiotech, 98 Rue Ali Belhouane, Agareb, 3030, Tunisia",,AUTO,2026-05-08,Stub — postal address without institution name
"Conakry, Guinea",,AUTO,2026-05-08,Stub — city and country only
"Natural Resources and the Environment, CSIR, P.O. Box 320, Stellenbosch, 7599, South Africa",,AUTO,2026-05-08,Stub — postal address without institution name
"Elephants Without Borders, PO Box 682, Kasane, Botswana",,AUTO,2026-05-08,Stub — postal address without institution name
"Uganda Youth Development Link, P.O. Box 12659, Kampala, Uganda",,AUTO,2026-05-08,Stub — postal address without institution name
"Green Energy Park (IRESEN, UM6P), km2 R206, Benguerir, 43150, Morocco",,AUTO,2026-05-08,Stub — postal address without institution name
"Lilongwe, Malawi",,AUTO,2026-05-08,Stub — city and country only
"Amref Health Africa in Ethiopia, P.O. Box 20855, Addis Ababa, 1000, Ethiopia",,AUTO,2026-05-08,Stub — postal address without institution name
"Univ. Manouba, ISBST, BVBGR-LR11ES31, Biotechpole Sidi Thabet, Ariana, 2020, Tunisia",,AUTO,2026-05-08,Stub — postal address without institution name
"Wildlife Works, P.O. Box 310-80300, Voi, Kenya",,AUTO,2026-05-08,Stub — postal address without institution name
"Elephants Alive, P.O. Box 960, Hoedspruit, 1380, South Africa",,AUTO,2026-05-08,Stub — postal address without institution name
"Alexandria, Egypt",,AUTO,2026-05-08,Stub — city and country only
"Lagos, Nigeria",,AUTO,2026-05-08,Stub — city and country only
"Veolia Water Technologies, Cairo, 11835, Egypt",,AUTO,2026-05-08,Stub — postal address without institution name
"Independent Researcher, Triolet, Mauritius",,AUTO,2026-05-08,Stub — generic descriptor
"Menoufia Company for Water and Wastewater, Holding Company for Water and Wastewater, Menoufia, 32514, Egypt",,AUTO,2026-05-08,Stub — postal address without institution name
"Egyptian propylene and polypropylene company, Port Said, 42511, Egypt",,AUTO,2026-05-08,Stub — postal address without institution name
"Kilifi, Kenya",,AUTO,2026-05-08,Stub — city and country only
"P.O. Box 21168, Windhoek, Namibia",,AUTO,2026-05-08,Stub — postal address without institution name
"World Agroforestry (ICRAF), UN Avenue, Gigiri, P.O. Box 30677, Nairobi, 00100, Kenya",,AUTO,2026-05-08,Stub — postal address without institution name
"CSIR Materials Science and Manufacturing, Polymers and Composites Competence Area, P.O. Box 1124, Port Elizabeth, 6000, South Africa",,AUTO,2026-05-08,Stub — postal address without institution name
"World Agroforestry (ICRAF), United Nations Avenue, P.O. Box 30677-00100, Nairobi, Kenya",,AUTO,2026-05-08,Stub — postal address without institution name
"CIRAD, UMR G-EAU, Hatfield, 0028, South Africa",,AUTO,2026-05-08,Stub — postal address without institution name
"Bioversity International, c/o ILRI, P.O. Box 5689, Addis Ababa, Ethiopia",,AUTO,2026-05-08,Stub — postal address without institution name
"Ibadan, Nigeria",,AUTO,2026-05-08,Stub — city and country only
"Gaborone, Botswana",,AUTO,2026-05-08,Stub — city and country only
"ARC-Animal Production, Private Bag X2, Irene, 0062, South Africa",,AUTO,2026-05-08,Stub — postal address without institution name
"CABI Africa, P.O. Box 633-00621, Nairobi, Kenya",,AUTO,2026-05-08,Stub — postal address without institution name
"World Agroforestry (ICRAF), P.O. Box 30677-00100, Nairobi, Kenya",,AUTO,2026-05-08,Stub — postal address without institution name
"Independent Researcher, Kafr El Sheikh, Egypt",,AUTO,2026-05-08,Stub — generic descriptor
"StatisMed for Statistical Analysis Services, Giza, 12573, Egypt",,AUTO,2026-05-08,Stub — postal address without institution name
"Ecole Militaire Polytechnique, UER ELT, Algiers, 16111, Algeria",,AUTO,2026-05-08,Stub — postal address without institution name
"Nature and Livelihoods, P.O. Box 21669, Kampala, Uganda",,AUTO,2026-05-08,Stub — postal address without institution name
"Cotonou, Benin",,AUTO,2026-05-08,Stub — city and country only
"Lomé, Togo",,AUTO,2026-05-08,Stub — city and country only
"CABI, Canary Bird, 673 Limuru Road, Muthaiga, P.O. Box 633-00621, Nairobi, Kenya",,AUTO,2026-05-08,Stub — postal address without institution name
"East African Medical Journal, Kenya",,AUTO,2026-05-08,Stub — city and country only
"University of Witwatersrand, Johannesburg, South Africa",https://ror.org/03rp50x72,AEM,2026-05-08,Manual — ROR canonical is University of the Witwatersrand
"World Agroforestry (ICRAF), Nairobi, Kenya",https://ror.org/01kmz4383,AEM,2026-05-08,Manual — scored below threshold; correct match confirmed via ROR search
"North West University, South Africa",https://ror.org/010f1sq29,AEM,2026-05-08,Manual — ROR canonical is North-West University (hyphenated)
"Population Council, Nairobi, Kenya",https://ror.org/03zjj0p70,AEM,2026-05-08,Manual — Nairobi office maps to global Population Council HQ
"Society for Family Health, Abuja, Nigeria",https://ror.org/017yczc37,AEM,2026-05-08,Manual — scored below threshold; correct match confirmed via ROR search
"KEMRI-Wellcome Trust Research Programme, Kilifi, Kenya",https://ror.org/04r1cxt79,AEM,2026-05-08,Manual — mapped to parent Kenya Medical Research Institute
"KEMRI-Wellcome Trust Research Programme, Nairobi, Kenya",https://ror.org/04r1cxt79,AEM,2026-05-08,Manual — mapped to parent Kenya Medical Research Institute
"Health Economics Research Unit, KEMRI-Wellcome Trust Research Programme, Nairobi, Kenya",https://ror.org/04r1cxt79,AEM,2026-05-08,Manual — sub-unit mapped to parent Kenya Medical Research Institute
"Kilimanjaro Christian Medical University College, Moshi, Tanzania",https://ror.org/04knhza04,AEM,2026-05-08,Manual — mapped to parent Kilimanjaro Christian Medical Centre
"Kilimanjaro Clinical Research Institute, Moshi, Tanzania",,AEM,2026-05-08,Not in ROR
"Centro de Investigação em Saúde de Manhiça (CISM), Maputo, Mozambique",https://ror.org/0287jnj14,AEM,2026-05-08,Manual — ROR canonical is Manhiça Health Research Centre
"Moi Teaching and Referral Hospital, Eldoret, Kenya",,AEM,2026-05-08,Not in ROR
"Oceanographic Research Institute, Durban, South Africa",,AEM,2026-05-08,Not in ROR
"International Water Management Institute (IWMI), Accra, Ghana",,AEM,2026-05-08,Not in ROR — CGIAR regional office has no independent ROR entry
"CORDIO East Africa, Mombasa, Kenya",https://ror.org/02nmsd267,AEM,2026-05-08,Manual — ROR canonical is Coastal Oceans Research and Development in the Indian Ocean
