country_name,iso2,spearman_rho,p_value,ci_lower,ci_upper,n_sdgs_used,interpretation,note
South Africa,ZA,-0.2023,0.436103,-0.7081,0.3516,17,Neutral,
Egypt,EG,-0.1054,0.687266,-0.596,0.4294,17,Neutral,
Nigeria,NG,-0.2966,0.247729,-0.7545,0.2271,17,Neutral,
Ethiopia,ET,0.0191,0.943935,-0.4916,0.5434,16,Neutral,
Ghana,GH,-0.4929,0.044374,-0.8584,0.0039,17,Neutral,
Kenya,KE,-0.1765,0.498068,-0.612,0.3615,17,Neutral,
Uganda,UG,-0.2193,0.414518,-0.625,0.2539,16,Neutral,
Tanzania,TZ,-0.3017,0.239322,-0.7165,0.2234,17,Neutral,
Tunisia,TN,-0.1741,0.503884,-0.6699,0.3797,17,Neutral,
Morocco,MA,-0.3593,0.156668,-0.8181,0.2184,17,Neutral,
Malawi,MW,-0.1545,0.56772,-0.6486,0.4332,16,Neutral,
Algeria,DZ,-0.0074,0.977642,-0.5699,0.5757,17,Neutral,
Cameroon,CM,-0.1508,0.563377,-0.6279,0.4521,17,Neutral,
Zimbabwe,ZW,-0.4636,0.070516,-0.8185,0.1233,16,Neutral,
Zambia,ZM,-0.5975,0.014518,-0.8125,-0.1819,16,Misaligned,
Rwanda,RW,-0.3826,0.14354,-0.751,0.1567,16,Neutral,
Sudan,SD,-0.1471,0.57304,-0.6203,0.4377,17,Neutral,
Botswana,BW,-0.5533,0.026181,-0.9108,-0.0238,16,Misaligned,
Burkina Faso,BF,-0.4003,0.124447,-0.8363,0.162,16,Neutral,
Benin,BJ,-0.3544,0.162818,-0.7604,0.2225,17,Neutral,
Cote d'Ivoire,CI,-0.3961,0.115524,-0.776,0.1172,17,Neutral,
Mozambique,MZ,-0.4022,0.109492,-0.7616,0.1173,17,Neutral,
Senegal,SN,-0.2955,0.249477,-0.7239,0.2766,17,Neutral,
Namibia,NA,-0.45,0.069893,-0.8812,0.0725,17,Neutral,
Togo,TG,-0.3066,0.231389,-0.71,0.2032,17,Neutral,
Sierra Leone,SL,0.0797,0.761062,-0.4369,0.6238,17,Neutral,
Mauritius,MU,0.179,0.491751,-0.4128,0.6673,17,Neutral,
Somalia,SO,-0.1325,0.624849,-0.6508,0.4297,16,Neutral,
Madagascar,MG,-0.2918,0.255698,-0.7568,0.2184,17,Neutral,
Mali,ML,-0.3944,0.130604,-0.8522,0.167,16,Neutral,
Congo,CG,-0.1974,0.447539,-0.6083,0.2752,17,Neutral,
Gambia,GM,-0.0515,0.844373,-0.5127,0.4404,17,Neutral,
Guinea-Bissau,GW,0.092,0.725546,-0.4607,0.6374,17,Neutral,
Niger,NE,-0.2973,0.263495,-0.7844,0.3125,16,Neutral,
Liberia,LR,-0.0699,0.789806,-0.5927,0.4967,17,Neutral,
Gabon,GA,-0.1795,0.505821,-0.6383,0.3168,16,Neutral,
Lesotho,LS,-0.3135,0.237108,-0.7908,0.2743,16,Neutral,
Angola,AO,-0.3617,0.153653,-0.7782,0.2,17,Neutral,
Burundi,BI,-0.2325,0.386152,-0.6602,0.3774,16,Neutral,
Eswatini,SZ,-0.0074,0.978423,-0.5583,0.4635,16,Neutral,
Guinea,GN,0.0427,0.875295,-0.5362,0.5728,16,Neutral,
Mauritania,MR,-0.4798,0.060024,-0.8692,0.058,16,Neutral,
Chad,TD,-0.3929,0.132175,-0.8241,0.0699,16,Neutral,
Djibouti,DJ,-0.3429,0.193538,-0.6964,0.1515,16,Neutral,
South Sudan,SS,-0.5239,0.037248,-0.8122,-0.0789,16,Misaligned,
Central African Republic,CF,-0.2469,0.375069,-0.769,0.3053,15,Neutral,
Cabo Verde,CV,-0.326,0.25535,-0.8447,0.2294,14,Neutral,
