country_name,iso2,iso3,total_frac_pubs,sdgs_with_pubs,sdg_scores_available,qualifies,exclusion_reason
South Africa,ZA,ZAF,82536.0,17,17,True,
Egypt,EG,EGY,51051.0,17,17,True,
Nigeria,NG,NGA,39065.0,17,17,True,
Ethiopia,ET,ETH,31037.0,17,16,True,
Ghana,GH,GHA,19901.0,17,17,True,
Kenya,KE,KEN,16736.0,17,17,True,
Uganda,UG,UGA,11242.0,17,16,True,
Tanzania,TZ,TZA,10710.0,17,17,True,
Tunisia,TN,TUN,10274.0,17,17,True,
Morocco,MA,MAR,10185.0,17,17,True,
Malawi,MW,MWI,6486.0,17,16,True,
Algeria,DZ,DZA,5826.0,17,17,True,
Cameroon,CM,CMR,4934.0,17,17,True,
Zimbabwe,ZW,ZWE,4330.0,17,16,True,
Zambia,ZM,ZMB,3613.0,17,16,True,
Rwanda,RW,RWA,3048.0,17,16,True,
Sudan,SD,SDN,3025.0,17,17,True,
Botswana,BW,BWA,2491.0,17,16,True,
Burkina Faso,BF,BFA,2422.0,17,16,True,
Benin,BJ,BEN,2353.0,17,17,True,
Cote d'Ivoire,CI,CIV,1890.0,17,17,True,
Mozambique,MZ,MOZ,1760.0,17,17,True,
Senegal,SN,SEN,1741.0,17,17,True,
Namibia,NA,NAM,1634.0,17,17,True,
Togo,TG,TGO,1312.0,17,17,True,
Sierra Leone,SL,SLE,1067.0,17,17,True,
Mauritius,MU,MUS,1001.0,17,17,True,
Somalia,SO,SOM,908.0,17,16,True,
Madagascar,MG,MDG,881.0,17,17,True,
Mali,ML,MLI,707.0,17,16,True,
Congo,CG,COG,681.0,17,17,True,
Gambia,GM,GMB,679.0,17,17,True,
Guinea-Bissau,GW,GNB,602.0,17,17,True,
Niger,NE,NER,499.0,17,16,True,
Liberia,LR,LBR,439.0,17,17,True,
Gabon,GA,GAB,362.0,16,17,True,
Lesotho,LS,LSO,299.0,17,16,True,
Angola,AO,AGO,286.0,17,17,True,
Burundi,BI,BDI,253.0,17,16,True,
Eswatini,SZ,SWZ,233.0,17,16,True,
Guinea,GN,GIN,204.0,16,17,True,
Mauritania,MR,MRT,137.0,16,17,True,
Chad,TD,TCD,135.0,17,16,True,
Djibouti,DJ,DJI,125.0,17,16,True,
South Sudan,SS,SSD,116.0,17,16,True,
Central African Republic,CF,CAF,94.0,16,16,True,
Cabo Verde,CV,CPV,25.0,14,17,True,
Democratic Republic Congo,CD,COD,1690.0,17,0,False,only 0 SDG Index scores available
Libya,LY,LBY,974.0,17,0,False,only 0 SDG Index scores available
Seychelles,SC,SYC,217.0,17,0,False,only 0 SDG Index scores available
Sao Tome and Principe,ST,STP,15.0,8,17,False,only 8 SDGs with publications
Equatorial Guinea,GQ,GNQ,11.0,8,0,False,only 8 SDGs with publications
Comoros,KM,COM,7.0,8,17,False,only 8 SDGs with publications
Eritrea,ER,ERI,3.0,3,0,False,only 3 SDGs with publications
