metric,value
Total publications,"338,409"
Unique sources (journals/venues),"18,187"
Total citations,"7,010,837"
Average citations per paper (CPP),20.72
Time span,2015–2025 (42 records with 2026 publication year retained in corpus but excluded from annual trend analysis)
AU-54 countries with ≥1 pub,54 / 54
CAGR 2015–2024 (total output),16.3%
Most cited paper (title),PRISMA extension for scoping reviews (PRISMA-ScR): Checklist and explanation
Most cited paper (citations),"30,525"
Most cited paper (year),2018
