sdg_number,sdg_name,fractional_pub_count,pct_of_total_fractional_corpus,total_citations,avg_citations_per_frac_pub
3,Good Health and Well-being,54846.3,16.21,1127197.4,20.55
12,Responsible Consumption and Production,35766.7,10.57,805016.8,22.51
15,Life on Land,33583.8,9.92,715731.0,21.31
13,Climate Action,32657.2,9.65,809269.0,24.78
6,Clean Water and Sanitation,28305.4,8.36,681573.7,24.08
17,Partnerships for the Goals,20712.0,6.12,427534.4,20.64
16,"Peace, Justice and Strong Institutions",18746.5,5.54,279808.7,14.93
9,"Industry, Innovation and Infrastructure",17579.5,5.19,364196.5,20.72
4,Quality Education,16599.2,4.91,274046.1,16.51
11,Sustainable Cities and Communities,13993.3,4.14,261938.8,18.72
7,Affordable and Clean Energy,13128.0,3.88,325833.6,24.82
14,Life Below Water,12331.7,3.64,257303.2,20.87
8,Decent Work and Economic Growth,9241.6,2.73,140434.1,15.2
5,Gender Equality,8340.6,2.46,127014.4,15.23
1,No Poverty,7774.7,2.3,146533.3,18.85
2,Zero Hunger,7773.6,2.3,146465.5,18.84
10,Reduced Inequalities,7028.9,2.08,120940.6,17.21
