source_title,total_pubs,total_citations,cpp
PLoS ONE,6740,140043.0,20.78
Sustainability (Switzerland),3968,94444.0,23.8
Scientific Reports,3766,67894.0,18.03
BMC Public Health,2551,48776.0,19.12
Heliyon,2484,52479.0,21.13
Environmental Science and Pollution Research,2022,63692.0,31.5
BMJ Open,2022,22720.0,11.24
International Journal of Environmental Research and Public Health,1730,42910.0,24.8
Pan African Medical Journal,1631,13841.0,8.49
Science of the Total Environment,1437,81673.0,56.84
BMC Health Services Research,1428,22290.0,15.61
Water (Switzerland),1273,30092.0,23.64
BMC Pregnancy and Childbirth,1247,26098.0,20.93
Frontiers in Public Health,1197,15162.0,12.67
Malaria Journal,1093,17631.0,16.13
Scientific African,1068,14695.0,13.76
PLOS Global Public Health,1068,5553.0,5.2
Environmental Monitoring and Assessment,1024,17885.0,17.47
Desalination and Water Treatment,1022,11930.0,11.67
Journal of Cleaner Production,985,66327.0,67.34
IEEE Access,954,32598.0,34.17
BMJ Global Health,938,22804.0,24.31
Energies,907,23145.0,25.52
Journal of Environmental Management,879,39185.0,44.58
BMC Infectious Diseases,850,13551.0,15.94
Egyptian Journal of Aquatic Biology and Fisheries,838,3086.0,3.68
Reproductive Health,817,18206.0,22.28
PLoS Neglected Tropical Diseases,813,23188.0,28.52
Egyptian Journal of Chemistry,704,3992.0,5.67
South African Medical Journal,683,7171.0,10.5
